pgid	pg	sgid	sg	mw	a	b	c	d	dh	dg	na	vc	tb	tf	tc	pc
23	CH2COO	11	CH2COO	58.036	23.591	0.1352	-0.0000142	-3.33E-08	-358.56	-293.53	6	138	103.98	64.87	0.067	0.0005
24	HCOO	12	HCOO	45.018	0	0	0	0	0	0	0	0	0	0	0	0
25	CH3O	13	CH3O	31.034	45	-0.07128	0.000264	-1.515E-07	-208.67	-148.96	5	83	46	17.13	0.0309	0.0003
26	CH2O	13	CH2O	30.026	24.591	0.0318	0.0000566	-4.29E-08	-152.86	-96.58	4	74	45.3	33.5	0.0357	0.0015
27	CH-O	13	CH-O	29.018	0	0	0	0	0	0	0	0	0	0	0	0
28	FCH2O	13	FCH2O	30.026	0	0	0	0	0	0	0	0	0	0	0	0
29	CH3NH2	14	CH3NH2	31.058	46.4	-0.04928	0.000317	-1.943E-07	-98.47	-29.89	7	103	96.81001	61.79	0.0384	0.0097
30	CH2NH2	14	CH2NH2	30.5	25.991	0.0538	0.0001096	-8.57E-08	-42.66	22.49	6	94	96.11	78.16	0.0432	0.0109
31	CHNH2	14	CHNH2	29.042	3.9	0.1628	-0.000101	2.24E-08	7.869999	72.43	5	79	94.97	79.53	0.0407	0.0129
32	CH3NH	15	CH3NH	30.5	18.29	0.06812	0.0001044	-8.62E-08	-22.98	45.43	6	100	73.75	47.56	0.0436	0.0065
33	CH2NH	15	CH2NH	29.042	-2.119	0.1712	-0.000103	2.24E-08	32.83	97.81	5	91	73.05	63.93	0.0484	0.0077
34	CHNH	15	CHNH	28.034	-24.21	0.2802	-0.0003136	1.305E-07	83.36	147.75	4	76	71.91	65.3	0.0459	0.0097
35	CH3N	16	CH3N	29.042	0	0	0	0	0	0	0	0	0	0	0	0
36	CH2N	16	CH2N	28.034	0	0	0	0	0	0	0	0	0	0	0	0
37	ACNH2	17	ACNH2	28.034	18.65	0.0598	0.000022	-2.98E-08	24.41	68.12	4	70	104.24	103.91	0.0386	0.0117
38	C5H5N	18	C5H5N	79.098	-1.870001	0.28316	0.0000353	-1.055E-07	65.97	136.43	11	239	191.2	109.05	0.0495	0.0131
39	C5H4N	18	C5H4N	78.09	-7.980001	0.32676	-0.0001051	-2.18E-08	110.31	179.18	10	230	195.48	137.94	0.0556	0.0128
40	C5H3N	18	C5H3N	77.082	-14.09	0.37036	-0.0002454	6.19E-08	154.65	221.93	9	221	199.76	166.83	0.0617	0.0125
41	CH3CN	19	CH3CN	41.052	56	-0.01541	0.000337	-1.997E-07	11.98	45.26	6	156	149.24	54.79	0.0637	-0.0113
42	CH2CN	19	CH2CN	40.044	35.591	0.08767	0.0001296	-9.11E-08	67.79	97.64	5	147	148.54	71.16	0.0685	-0.0101
43	COOH	20	COOH	45.018	24.1	0.0427	0.0000804	-6.87E-08	-426.72	-387.87	4	89	169.09	155.5	0.0791	0.0077
44	HCOOH	20	HCOOH	46.026	24.1	0.0427	0.0000804	-6.87E-08	-426.72	-387.87	4	89	169.09	155.5	0.0791	0.0077
45	CH2Cl	21	CH2Cl	49.483	32.391	-0.0013	0.0001326	-8.77E-08	-92.19	-55.89	4	114	61.01	24.82	0.0294	-0.0049
46	CHCl	21	CHCl	48.475	10.3	0.1077	-0.000078	2.04E-08	-41.66	-5.949997	3	99	59.87	26.19	0.0269	-0.0029
47	CCl	21	CCl	47.467	-32.9	0.3307	-0.000454	2.014E-07	10.68	51.71	2	85	56.38	59.98	0.0172	-0.0006
48	CH2Cl2	22	CH2Cl2	84.94	65.69099	-0.0976	0.0003196	-1.873E-07	-163.74	-120.2	5	172	99.14	38.37	0.0399	-0.0098
49	CHCl2	22	CHCl2	83.932	43.6	0.0114	0.000109	-7.92E-08	-113.21	-70.25999	4	157	98	39.74	0.0374	-0.0078
50	CCl2	22	CCl2	82.924	0.400001	0.2344	-0.000267	1.018E-07	-60.87	-12.6	3	143	94.51	73.53	0.0277	-0.0055
51	CHCl3	23	CHCl3	119.389	76.89999	-0.0849	0.000296	-1.788E-07	-184.76	-134.57	5	215	136.13	53.29	0.0479	-0.0127
52	CCl3	23	CCl3	118.381	33.7	0.1381	-0.00008	2.2E-09	-132.42	-76.91	4	201	132.64	87.08	0.0382	-0.0104
53	CCl4	24	CCl4	153.838	67	0.0418	0.000107	-9.74E-08	-203.97	-141.22	5	259	170.77	100.63	0.0487	-0.0153
54	ACCl	25	ACCl	47.467	25.05	0.0047	0.000045	-3.18E-08	-25.12	-10.26	2	90	69.14	50.57	0.0248	-0.0041
55	CH3NO2	26	CH3NO2	61.042	45.4	-0.01182	0.000282	-1.855E-07	-143.02	-60.79	7	156	176.12	122.14	0.0578	0.0052
56	CH2NO2	26	CH2NO2	60.034	24.991	0.09126	0.0000746	-7.69E-08	-87.21	-8.41	6	147	175.42	138.51	0.0626	0.0064
57	CHNO2	26	CHNO2	59.026	2.9	0.20026	-0.000136	3.12E-08	-36.68	41.53	5	132	174.28	139.88	0.0601	0.0084
58	ACNO2	27	ACNO2	58.018	17.65	0.09726	-0.000013	-0.000000021	-20.14	37.22	4	123	183.55	164.26	0.058	0.0072
59	CS2	28	CS2	76.142	0	0	0	0	0	0	0	0	0	0	0	0
60	CH3SH	29	CH3SH	48.108	54.8	-0.01566	0.000338	-1.997E-07	-93.78	-66.95	6	128	87.14	14.99	0.0172	0.0072
61	CH2SH	29	CH2SH	47.1	34.391	0.08742	0.0001306	-9.11E-08	-37.97	-14.57	5	119	86.44	31.36	0.022	0.0084
62	Furfural	30	Furfural	96.09	2.209999	0.3376	-0.0000756	-5.22E-08	-330.98	-249.8	11	245	158.65	94.67001	0.0712	0.0201
63	(CH2OH)2	31	(CH2OH)2	60.052	0	0	0	0	0	0	0	0	0	0	0	0
64	I	32	I	126.92	32.1	-0.0641	0.000126	-6.87E-08	21.06	5.74	1	97	93.84	41.69	0.0068	-0.0034
65	Br	33	Br	79.916	28.6	-0.0649	0.000136	-7.45E-08	-29.48	-38.06	1	71	66.86	43.43	0.0133	0.0057
66	CH~C	34	CH~C	25.028	32.37	-0.007	0.0001027	-6.64E-08	194.81	187.53	3	83	36.58	53.14	0.0047	0.0008
67	C~C	34	C~C	24.02	15.74	0.0402	-0.0000167	2.78E-09	231.02	219.64	2	74	54.76	128.64	0.004	0.0032
68	Me2SO	35	Me2SO	78.131	0	0	0	0	0	0	0	0	0	0	0	0
69	ACRY	36	ACRY	53.06	0	0	0	0	0	0	0	0	0	0	0	0
70	Cl(C=C)	37	Cl(C=C)	35.45	0	0	0	0	0	0	0	0	0	0	0	0
71	ACF	38	ACF	31.01	0	0	0	0	0	0	0	0	0	0	0	0
72	DMF-1	39	DMF-1	73.09	0	0	0	0	0	0	0	0	0	0	0	0
73	DMF-2	39	DMF-2	71.09	0	0	0	0	0	0	0	0	0	0	0	0
74	CF3	40	CF3	69.01	13.3	0.1531	-0.000068	-8.00E-09	-673.53	-625.55	4	108	18.16	-0.909998	0.04	-0.0128
75	CF2	40	CF2	50.01	-13.2	0.2444	-0.000259	0.000000095	-421.61	-378.36	3	81	18.19	14.87	0.0289	-0.0071
76	CF	40	CF	31.01	-39.7	0.3357	-0.00045	0.000000198	-169.69	-131.17	2	54	18.22	30.65	0.0178	-0.0014
77	COO	41	COO	44.01	24.5	0.0402	0.0000402	-4.52E-08	-337.92	-301.95	3	82	81.1	53.6	0.0481	0.0005
78	SiH3	42	SiH3	31.11	0	0	0	0	0	0	0	0	0	0	0	0
79	SiH2	42	SiH2	30.102	0	0	0	0	0	0	0	0	0	0	0	0
80	SiH	42	SiH	29.094	0	0	0	0	0	0	0	0	0	0	0	0
81	Si	42	Si	28.086	0	0	0	0	0	0	0	0	0	0	0	0
82	SiH2O	43	SiH2O	46.101	0	0	0	0	0	0	0	0	0	0	0	0
83	SiHO	43	SiHO	45.093	0	0	0	0	0	0	0	0	0	0	0	0
84	SiO	43	SiO	44.085	0	0	0	0	0	0	0	0	0	0	0	0
85	NMP	44	NMP	99.13	0	0	0	0	0	0	0	0	0	0	0	0
86	CCl3F	45	CCl3F	137.368	60.2	0.0468	0.000111	-1.008E-07	-384.34	-324.1	5	228	132.61	71.3	0.0493	-0.0161
87	CCl2F	45	CCl2F	101.916	26.9	0.1431	-0.000076	-1.2E-09	-312.79	-259.79	4	170	94.48	57.75	0.0388	-0.0112
88	HCCl2F	45	HCCl2F	102.923	70.1	-0.0799	0.0003	-1.822E-07	-365.13	-317.45	5	184	97.97	23.96	0.0485	-0.0135
89	HCClF	45	HCClF	86.469	36.8	0.0164	0.000113	-8.26E-08	-293.58	-253.14	4	126	59.84	10.41	0.038	-0.0086
90	CClF2	45	CClF2	85.461	20.1	0.1481	-0.000072	-4.6E-09	-493.16	-442.67	4	139	56.32	28.42	0.0394	-0.012
91	HCClF2	45	HCClF2	86.469	63.3	-0.0749	0.000304	-1.856E-07	-545.5	-500.33	5	153	59.81001	-5.369999	0.0491	-0.0143
92	CClF3	45	CClF3	104.459	46.6	0.0568	0.000119	-1.076E-07	-745.08	-689.86	5	166	56.29	12.64	0.0505	-0.0177
93	CCl2F2	45	CCl2F2	120.914	53.4	0.0518	0.000115	-1.042E-07	-564.71	-506.98	5	197	94.45	41.97	0.0499	-0.0169
94	CONH2	46	CONH2	44.033	33.35	0.0258	0.0001283	-9.47E-08	-155.24	-106.43	5	100	149.98	128.09	0.0623	0.014
95	CONHCH3	46	CONHCH3	58.06	24.74	0.13512	0.0000687	-8.33E-08	-156.2	-75.07	8	162	150.5	108.76	0.0816	0.0096
96	CONHCH2	46	CONHCH2	57.053	4.331	0.2382	-0.0001387	2.53E-08	-100.39	-22.69	7	153	149.8	125.13	0.0864	0.0108
97	CON(CH3)2	46	CON(CH3)2	72.087	14.35	0.27784	-0.0000497	-4.45E-08	-162.78	-45.25999	11	201	135.65	99.84	0.0831	0.0081
98	CONCH3CH2	46	CONCH3CH2	71.079	-6.059001	0.38092	-0.0002571	6.41E-08	-106.97	7.120005	10	192	134.95	116.21	0.0879	0.0093
99	CON(CH2)2	46	CON(CH2)2	70.071	-26.468	0.484	-0.0004645	1.73E-07	-51.16	59.5	9	183	134.25	132.58	0.0927	0.0105
100	C2H5O2	47	C2H5O2	61.061	0	0	0	0	0	0	0	0	0	0	0	0
101	C2H4O2	47	C2H4O2	60.053	0	0	0	0	0	0	0	0	0	0	0	0
102	CH3S	48	CH3S	47.079	39.1	-0.01369	0.0001932	-1.243E-07	-34.58	-10.84	5	119	92.36	29.3	0.026	0.0037
103	CH2S	48	CH2S	46.091	18.691	0.08939	-0.0000142	-1.57E-08	21.23	41.54	4	110	91.66	45.67	0.0308	0.0049
104	CHS	48	CHS	45.083	-3.4	0.19839	-0.0002248	9.24E-08	71.75999	91.48	3	95	90.52	47.04	0.0283	0.0069
105	Morpholine	49	Morpholine	87.122	0	0	0	0	0	0	0	0	0	0	0	0
106	C4H4S	50	C4H4S	84.14	0	0	0	0	0	0	0	0	0	0	0	0
107	C4H2S	50	C4H2S	82.125	0	0	0	0	0	0	0	0	0	0	0	0
108	C4H3S	50	C4H3S	83.133	0	0	0	0	0	0	0	0	0	0	0	0
109	CH2=C=CH	2	CH2=C=CH	39.054	43	0.0112	0.0001767	-1.176E-07	170.48	189	6	138	69.29	22.19	0.0268	-0.0006
